before,after,diff
2.7,2.2,-0.5
2.4,2,-0.4
4,4.2,0.2
2.9,2.3,-0.6
0.9,0.9,0
1.4,1.7,0.3
1.2,1.4,0.2
1.5,1.2,-0.3
0.8,1,0.2
0.8,1,0.2
1.1,1.2,0.1
0.7,0.9,0.3
2,1.5,-0.5
5.9,4.6,-1.3
