Tributary,Up,In,Down
Ica,14,23,19
Jutai,11,15,18
Jurua,8,13,8
Japura,9,16,11
Coari,5,7,7
Purus,10,23,16
Manacapuru,5,8,6
Negro,23,26,24
Madeira,29,24,30
Trombetas,19,20,16
Tapajos,16,5,20
Xingu,25,24,21
Tocantins,10,12,12
