Obese,Healthy weight
0.3,0.78
0.24,0.7
0.19,0.63
0.17,0.6
0.18,0.6
0.23,0.69
0.24,0.76
0.06,0.58
0.15,0.5
0.17,0.48
0.18,0.49
0.17,0.43
0.15,0.42
0.12,0.38
0.25,0.35
0.25,0.35
0.25,0.32
0.32,0.31
0.35,0.28
0.37,0.25
0.39,0.23
0.46,0.24
0.49,0.24
0.42,0.26
0.36,0.27
