Trt,Biomass
winter,254.6453
winter,233.8155
winter,253.4506
winter,228.5882
winter,158.6675
winter,212.3232
spring,517.665
spring,342.2825
spring,270.5785
spring,212.5324
spring,213.9879
spring,240.1927
control,178.9988
control,205.5165
control,242.6795
control,231.7639
control,134.9847
control,212.4862
