SA,R,R - SA
2.5,16.7,14.2
7.5,20,12.5
10,23.3,13.3
0,16.7,16.7
12.5,56.7,44.2
2.5,0,-2.5
0,26.7,26.7
2.5,36.7,34.2
17.5,10,-7.5
