Group,Week 0,Week 13
C,111.2,191.6
C,105.4,191.2
C,110.8,210.7
C,105.6,185.2
C,106.1,195.0
C,104.4,188.3
C,114.0,188.4
C,115.1,195.6
C,109.2,204.6
C,111.3,195.7
T,107.3,187.0
T,116.7,189.5
T,112.2,179.2
T,103.4,172.2
T,113.2,178.7
T,110.6,180.9
T,110.6,188.3
T,100.5,188.9
T,106.3,183.1
T,112.5,184.5
