testph,relatfit
acid,1.24
acid,1.22
acid,1.23
acid,1.24
acid,1.18
acid,1.09
neutral,0.99
neutral,0.99
neutral,0.98
neutral,0.94
neutral,0.95
neutral,0.95
basic,0.56
basic,0.83
basic,0.82
basic,0.72
basic,0.86
basic,0.84
